--- Running Processes ---
PID: 13572 | Name: svchost.exe
PID: 4888 | Name: backgroundTaskHost.exe
PID: 11752 | Name: RuntimeBroker.exe
PID: 5036 | Name: svchost.exe
PID: 7548 | Name: smartscreen.exe
PID: 11712 | Name: NetworkProjectServer.exe
PID: 8312 | Name: conhost.exe
PID: 17132 | Name: OpenConsole.exe
PID: 4216 | Name: WindowsTerminal.exe
PID: 8268 | Name: WmiPrvSE.exe
PID: 25432 | Name: NetworkProjectClient.exe
PID: 14784 | Name: conhost.exe
PID: 7820 | Name: OpenConsole.exe
