--- Running Processes ---
PID: 19664 | Name: Code.exe
PID: 3032 | Name: Code.exe
PID: 428 | Name: Code.exe
PID: 16228 | Name: Code.exe
PID: 17504 | Name: dllhost.exe
PID: 19136 | Name: brave.exe
PID: 10048 | Name: brave.exe
PID: 29136 | Name: brave.exe
PID: 452 | Name: brave.exe
PID: 29952 | Name: brave.exe
PID: 21556 | Name: brave.exe
PID: 5728 | Name: brave.exe
PID: 6524 | Name: brave.exe
PID: 27448 | Name: brave.exe
PID: 28972 | Name: brave.exe
PID: 4116 | Name: brave.exe
PID: 29808 | Name: brave.exe
PID: 27960 | Name: brave.exe
PID: 8092 | Name: brave.exe
PID: 23648 | Name: brave.exe
PID: 13288 | Name: dllhost.exe
PID: 24444 | Name: HYP.exe
PID: 19780 | Name: HYPHelper.exe
PID: 21136 | Name: HYPHelper.exe
PID: 700 | Name: HYPHelper.exe
PID: 29392 | Name: HYPHelper.exe
PID: 7252 | Name: mcafee-security.exe
PID: 19188 | Name: RuntimeBroker.exe
PID: 15932 | Name: mcafee-security-ft.exe
PID: 17360 | Name: ShellHost.exe
PID: 24364 | Name: svchost.exe
PID: 12384 | Name: EdgeGameAssist.exe
PID: 26260 | Name: XboxPcAppFT.exe
PID: 22700 | Name: ShellExperienceHost.exe
PID: 18452 | Name: msedge.exe
PID: 22800 | Name: svchost.exe
PID: 14876 | Name: msedge.exe
PID: 30848 | Name: msedge.exe
PID: 21476 | Name: msedge.exe
PID: 30124 | Name: msedge.exe
PID: 1068 | Name: WmiPrvSE.exe
PID: 27356 | Name: smartscreen.exe
PID: 21904 | Name: audiodg.exe
PID: 12964 | Name: Code.exe
PID: 21808 | Name: Code.exe
PID: 30396 | Name: conhost.exe
PID: 2100 | Name: powershell.exe
PID: 11472 | Name: cpptools.exe
PID: 1576 | Name: conhost.exe
PID: 23916 | Name: cpptools.exe
PID: 29504 | Name: Code.exe
PID: 31076 | Name: cpptools-srv.exe
PID: 15260 | Name: conhost.exe
PID: 26364 | Name: svchost.exe
PID: 24836 | Name: Notepad.exe
PID: 31976 | Name: conhost.exe
PID: 13560 | Name: powershell.exe
PID: 18376 | Name: NetworkProjectServer.exe
PID: 4904 | Name: NetworkProjectClient.exe
PID: 9604 | Name: conhost.exe
PID: 28280 | Name: OpenConsole.exe
PID: 20108 | Name: WindowsTerminal.exe
